conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
eric| That way we could get everyone s opinion and reach everyone simultaneously| [person:we g(lauren:eric) 2-2][person:everyone g(lauren:eric:shirley:anna) 5-5][person:everyone g(lauren:eric:shirley:anna) 10-10]
lauren| Great idea lets get started|
eric| What do you think Lauren| [person:lauren f 2-2][person:lauren f 4-4]
lauren| I don t have everyone on my phone do you Eric| [person:lauren f 0-0][person:everyone g(lauren:eric:shirley:anna) 4-4][person:lauren f 6-6][person:eric m 9-9][person:eric m 10-10]
eric| Great I can set up the chat I ll send you an invite in the next few minutes| [person:eric m 1-1][person:eric m 7-7][person:lauren f 10-10]
eric| Yeah I definitely don t mind| [person:eric m 1-1]
lauren| This is exciting Can t wait to see everyone| [person:everyone g(lauren:eric:shirley:anna) 8-8]
eric| Yeah It s going to be a great trip Can t wait| [location:trip s 8-8]

conv:people_2019072903_38:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
anthony| Hey Chris| [person:chris m 1-1]
chris| Hey Anthony| [person:anthony m 1-1]
anthony| How s it going|
chris| Alright here How about yourself| [person:anthony m 4-4]
anthony| Pretty good hey I m planning to hang out with some colleagues later wanna join us| [person:anthony m 3-3][person:colleagues g() 11-11][person:colleagues g() 15-15]
chris| Do I know your colleagues| [person:chris m 1-1][person:anthony m 3-3][person:colleagues g() 4-4]
anthony| I believe you do I m hanging with Jason Gary and William| [person:anthony m 0-0][person:chris m 2-2][person:anthony m 4-4][person:jason m 8-8][person:gary m 9-9][person:william m 11-11]
chris| Okay That sounds cool Just let me know when and where and I will be there Thanks for the invite| [person:chris m 6-6][person:chris m 12-12]
anthony| You got it man I ll be in touch| [person:chris m 0-0][person:anthony m 4-4]

conv:people_2019072903_44:aug_0:chat_0:chataug_0| chris samantha| [person:chris m 0-0][person:samantha f 1-1]
samantha| Hello Chris i was thinking we should take our neighbors to lunch| [person:samantha f 1-1][person:samantha f 2-2][person:samantha f 5-5][person:samantha f 8-8][person:samantha f 9-9][location:lunch s 11-11]
chris| I think we should ask the Robinsons if they know what the Martins like to eat| [person:chris m 0-0][person:chris m 2-2][person:chris m 6-6][person:chris m 8-8][person:chris m 12-12]
samantha| That s a great ideal We should probably bring something with us| [person:samantha f 5-5][person:samantha f 11-11]
chris| I think that would be the neighborly thing to do| [person:chris m 0-0]
samantha| I can t decide on what would be appropriate Hopefully the Robinson will give us an ideal of what they like| [person:samantha f 0-0][person:samantha f 11-11][person:samantha f 14-14][person:samantha f 19-19]
chris| Me either but I m glad we re getting to know the neighbors| [person:chris m 0-0][person:chris m 3-3][person:chris m 6-6][person:chris m 12-12]
chris| I think I| [person:chris m 0-0][person:chris m 2-2]
samantha| Mr too i m so excited that we moved here and i really like the neighborhood and the neighbors| [person:samantha f 2-2][person:samantha f 7-7][location:here s 9-9][person:samantha f 11-11][location:here s 15-15][person:samantha f 18-18]

conv:people_2019072903_65:aug_0:chat_0:chataug_0| angela debra| [person:angela f 0-0][person:debra f 1-1]
debra| Hey what do you think the Murphys and Smiths would like when we go to visit them| [person:angela f 3-3][person:murphys g() 6-6][person:smiths g() 8-8][person:we g(debra:angela) 12-12][person:them g() 16-16]
angela| I was thinking about giving some nice wine to both groups| [person:angela f 0-0][person:both g() 9-9]
debra| That s a great idea you can t go wrong with wine| [person:angela f 5-5]
angela| I know that the Smiths love chocolate so I may get that for them in addition to the wine| [person:angela f 0-0][person:smiths g() 4-4][person:angela f 8-8][person:smiths g() 13-13]
debra| That sounds good Maybe once we get to Charlotte we can find a local store with good wine and chocolates| [person:we g(debra:angela) 5-5][location:charlotte s 8-8][person:we g(debra:angela) 9-9]
angela| Do you know if the Murphys like chocolate as well| [person:debra f 1-1][person:murphys g() 5-5]
debra| I am not too sure but who doesn t like chocolate| [person:debra f 0-0]
angela| That is true How about I get the wine and chocolate for the Smiths You can buy the wine and chocolate for the Murphys| [person:angela f 5-5][person:smiths g() 13-13][person:debra f 14-14][person:murphys g() 23-23]
debra| That sounds perfect I look forward to spending time with everyone| [person:debra f 3-3][person:we g(debra:angela) 10-10]

conv:people_2019072903_67:aug_0:chat_0:chataug_0| amanda melissa| [person:amanda f 0-0][person:melissa f 1-1]
melissa| Hi|
melissa| Should we ask Frank Catherine and Edward to go with us to Six Flags| [person:we g(melissa:amanda) 1-1][person:frank m 3-3][person:catherine f 4-4][person:edward m 6-6][person:we g(melissa:amanda) 10-10]
amanda| Yes I think they d appreciate that| [person:amanda f 1-1][person:they g(frank:catherine:edward) 3-3]
melissa| I m free this weekend are you| [person:melissa f 0-0][person:amanda f 6-6]
amanda| I am| [person:amanda f 0-0]
melissa| Great I will call them later today and see if their schedule is good to go too| [person:melissa f 1-1][person:they g(frank:catherine:edward) 4-4][person:they g(frank:catherine:edward) 10-10]
amanda| Sounds great I hope they can make it| [person:amanda f 2-2][person:they g(frank:catherine:edward) 4-4]
melissa| Me too they are a lot of fun| [person:melissa f 0-0][person:they g(frank:catherine:edward) 2-2]
amanda| Yes and it s been a while since we ve seen them| [person:we g(melissa:amanda) 8-8][person:they g(frank:catherine:edward) 11-11]
melissa| We will plan for this weekend and I will let you know later if the others can com Talk to you later| [person:we g(melissa:amanda) 0-0][person:melissa f 7-7][person:amanda f 10-10][person:they g(frank:catherine:edward) 15-15][person:amanda f 20-20]

conv:people_2019080801_1:aug_0:chat_0:chataug_0| april leslie| [person:april f 0-0][person:leslie f 1-1]
april| Hi Leslie how are you| [person:leslie f 1-1][person:leslie f 4-4]
april| I m getting excited for cousin Donald s birthday party are you| [person:april f 0-0][person:donald m 5-5][person:donald m 6-6][person:leslie f 11-11]
leslie| Hey Cool I am super excited too| [person:leslie f 2-2]
april| Great|
april| Have any ideas on what to get them| [person:them g(donald) 7-7]
leslie| Hmmm I am still thinking about the gift| [person:leslie f 1-1]
leslie| Do you have anything in mind| [person:april f 1-1]
april| We could get them all ipads if you want I know they all could use them| [person:we g(april:leslie) 0-0][person:them g(donald) 3-3][person:leslie f 7-7][person:april f 9-9][person:them g(donald) 11-11]
leslie| That s a great idea|
leslie| They can play games on them| [person:them g(donald) 0-0]
april| Perfect I ll buy them and get them sent to my house| [person:april f 1-1][person:april f 10-10]
april| have a great day talk soon|
leslie| Yeah hopefully we ll catch up again soon| [person:we g(april:leslie) 2-2]

conv:people_2019080801_4:aug_0:chat_0:chataug_0| diana jacqueline| [person:diana f 0-0][person:jacqueline f 1-1]
diana| I m nervous about my job interview| [person:diana f 0-0][person:diana f 4-4]
jacqueline| I m sure you ll do fine How can I help| [person:jacqueline f 0-0][person:diana f 3-3][person:jacqueline f 9-9]
diana| Can you give me Donna s contact number I hear she works for the company and might be able to help me| [person:jacqueline f 1-1][person:diana f 3-3][person:donna f 4-4][person:diana f 8-8][person:donna f 10-10][person:diana f 21-21]
jacqueline| Sure her number is 5555555| [person:donna f 1-1]
diana| Oh thanks so much|
jacqueline| Sure I can put you in contact with Marilyn too She works there and can help| [person:jacqueline f 1-1][person:diana f 4-4][person:marilyn f 8-8][person:marilyn f 10-10]
diana| Oh you are a treasure| [person:jacqueline f 1-1]
jacqueline| I love to help any way I can| [person:jacqueline f 0-0][person:jacqueline f 6-6]
diana| You are a great friend| [person:jacqueline f 0-0][person:jacqueline f 4-4]
jacqueline| Thanks Diana I wish you well| [person:diana f 1-1][person:jacqueline f 2-2][person:diana f 4-4]

conv:people_2019080801_7:aug_0:chat_0:chataug_0| justin keith| [person:justin m 0-0][person:keith m 1-1]
keith| Hey Justin where should we go for Spring Break| [person:justin m 1-1][person:we g(keith:justin) 4-4]
justin| Bruce was talking about Vegas| [person:bruce m 0-0][location:vegas s 4-4]
keith| Harold want to go somewhere with a lot of babes| [person:harold m 0-0]
justin| There are babes in Vegas Everyone scores there| [location:vegas s 4-4][person:everyone g(keith:justin:bruce:harold) 5-5][location:vegas s 7-7]
keith| We re thinking about a place where you can score for free| [person:we g(keith:justin) 0-0][location:place s 5-5][person:justin m 7-7]
justin| LOL Yeah Bruce is very transactional He needs to get some game| [person:bruce m 2-2][person:bruce m 6-6]
keith| No doubt Harold can teach him a thing or two| [person:harold m 2-2][person:bruce m 5-5]
justin| So how so ou feel about Mexico| [location:mexico s 6-6]
keith| There s no wall blocking us So lets hit it| [person:us g(keith:justin:bruce:harold) 5-5]
justin| Its a plan I ll tell Bruce and Harold They ll be psyched| [person:justin m 3-3][person:bruce m 6-6][person:harold m 8-8][person:they g(bruce:harold) 9-9]

conv:people_2019080801_8:aug_0:chat_0:chataug_0| edward jonathan| [person:edward m 0-0][person:jonathan m 1-1]
edward| so the super bowl is coming up|
jonathan| I know we are watching it with Steve and Harold right| [person:jonathan m 0-0][person:we g(edward:jonathan) 2-2][person:steve m 7-7][person:harold m 9-9]
edward| yes indeed we are| [person:we g(edward:jonathan:steve:harold) 2-2]
jonathan| so do we agree on a location yet| [person:we g(edward:jonathan:steve:harold) 2-2]
edward| not yet I think we should pick someone s place for a get together or meet at a bar or restaurant| [person:edward m 2-2][person:we g(edward:jonathan:steve:harold) 4-4][person:someone u 7-7][location:place s 9-9][location:bar s 18-18][location:restaurant s 20-20]
jonathan| I think the home is more cozy and relaxing than having to sit at the restaurant for the entire game| [person:jonathan m 0-0][location:home s 3-3][location:restaurant s 15-15]
edward| I agree with you on that we should meet at my place it is in the middle of everyone s location| [person:edward m 0-0][person:jonathan m 3-3][person:we g(edward:jonathan:steve:harold) 6-6][person:edward m 10-10][location:place s 11-11][location:place s 12-12][person:we g(edward:jonathan:steve:harold) 18-18]
jonathan| you want to turn it into a party and invite some more people| [person:edward m 0-0]
edward| I am ok if we bring in some more friends| [person:edward m 0-0][person:we g(edward:jonathan:steve:harold) 4-4][person:friends g() 9-9]
jonathan| what about the food|
edward| let s make it a pot luck|
jonathan| all righty|

conv:people_2019080801_9:aug_0:chat_0:chataug_0| richard tiffany| [person:richard m 0-0][person:tiffany f 1-1]
tiffany| Hello|
richard| hi|
tiffany| How are you Richard| [person:richard m 2-2][person:richard m 3-3]
richard| Doing well What is your schedule like| [person:tiffany f 4-4]
tiffany| I am free tomorrow Are the handy men and the car guy coming tomorrow| [person:tiffany f 0-0][person:handy_men g() 7-7]
richard| I can arrange that Let me check my schedule really quick| [person:richard m 0-0][person:richard m 5-5][person:richard m 7-7]
tiffany| I don t work at all tomorrow| [person:tiffany f 0-0]
richard| Tomorrow looks good|
richard| what time is best|
tiffany| 12 pm is fine depends on when they are there| [person:handy_men g() 7-7]
richard| ok bruce can come then| [person:bruce m 1-1]
richard| let me check on martin| [person:richard m 1-1][person:martin m 4-4]
tiffany| alright then|
richard| Martin can t make it until 2 is that ok| [person:martin m 0-0]
tiffany| Yes that works|

conv:people_2019080801_10:aug_0:chat_0:chataug_0| juan mark| [person:juan m 0-0][person:mark m 1-1]
mark| hey juan are we going to watch superbowl| [person:juan m 1-1][person:we g(mark:juan) 3-3]
juan| hello mark can we meet at 2 pm for the movie| [person:mark m 1-1][person:we g(mark:juan) 3-3]
mark| have you informed samuel| [person:juan m 1-1][person:samuel m 3-3]
juan| yes i did| [person:juan m 1-1]
mark| How about Alan| [person:alan m 2-2]
juan| Not yet let me call him now| [person:juan m 3-3][person:alan m 5-5]
mark| Kindly do we need to keep time i don t wanna miss the movie| [person:we g(mark:juan) 2-2][person:mark m 7-7]
juan| Alan has confirmed he will be coming with us| [person:alan m 0-0][person:alan m 3-3][person:us g(mark:juan:alan) 8-8]
mark| where will we be watching the movie| [person:we g(mark:juan) 2-2]
juan| i feel we should the theater| [person:juan m 0-0][person:we g(mark:juan) 2-2]
mark| Okay then inform Samuel and Alan| [person:samuel m 3-3][person:alan m 5-5]
mark| see you there| [person:juan m 1-1]

conv:people_2019080801_13:aug_0:chat_0:chataug_0| amber marie| [person:amber f 0-0][person:marie f 1-1]
amber| Hey hows it going|
marie| Hey Amber| [person:amber f 1-1]
amber| So we know some of the same people Small world| [person:we g(amber:marie) 1-1]
marie| Yeah what do you know about Stephan and Janice| [person:amber f 3-3][person:stephan m 6-6][person:janice f 8-8]
