conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
kim| About that I just met up with Tom and Frances and they won t be able to make it| [person:kim f 2-2][person:tom m 7-7][person:frances f 9-9][person:they g(tom:frances) 11-11]
shirley| Are they busy this weekend that s dissapointing to hear| [person:they g(tom:frances) 1-1]
kim| It would have to be only just the two of us if we want to continue with the weekend plans| [person:us g(shirley:kim) 10-10][person:us g(shirley:kim) 12-12]
shirley| I guess we should do something else instead| [person:kim f 0-0][person:us g(shirley:kim) 2-2]
kim| Sure I am fine with that Are you available this Saturday in the afternoon| [person:kim f 1-1][person:kim f 7-7]
shirley| Why do you have something in mind on that date and time| [person:kim f 2-2]
kim| Yes I was thinking we can instead go to the movies at that time I can make it in the afternoon at the latest| [person:kim f 1-1][person:us g(shirley:kim) 4-4][person:kim f 14-14]
shirley| That sounds fun I should be available all day this Saturday for that| [person:kim f 3-3]
kim| Great meet up with at my house and I will drive to a theatre I know is having special prices for tickets| [person:kim f 5-5][person:kim f 8-8][person:kim f 14-14]
shirley| Sounds good I ll try to be there around 1 pm hoping I don t run into traffic| [person:kim f 2-2][location:there s 7-7][person:kim f 12-12]

conv:people_2019090101_300:aug_0:chat_0:chataug_0| darren kyle| [person:darren m 0-0][person:kyle m 1-1]
kyle| i think we should get something to eat before the event| [person:kyle m 0-0][person:we g(kyle:darren) 2-2]
darren| Joshua and Justin are already on their way to the venue| [person:joshua m 0-0][person:justin m 2-2][person:their g(joshua:justin) 6-6][location:venue s 10-10]
darren| what should we get to eat then| [person:we g(kyle:darren) 2-2]
kyle| whatever s closest to the venue then| [location:venue s 5-5]
darren| there s a pizza place nearby we can go there| [location:there s 0-0][location:place s 4-4][person:we g(kyle:darren) 6-6][location:there s 9-9]
kyle| so who s going to pick me up| [person:kyle m 6-6]
darren| i ll text Joshua and Justin| [person:darren m 0-0][person:joshua m 3-3][person:justin m 5-5]
darren| Joshua can t do it| [person:joshua m 0-0]
darren| Justin says he ll come get you| [person:justin m 0-0][person:justin m 2-2][person:kyle m 6-6]
kyle| alright cool thanks|
darren| i ll see you at the pizza place then| [person:darren m 0-0][person:kyle m 3-3]
kyle| yes i ll see you there| [person:kyle m 1-1][person:darren m 4-4][location:there g() 5-5]

conv:people_2019090101_301:aug_0:chat_0:chataug_0| kathryn sandra| [person:kathryn f 0-0][person:sandra f 1-1]
kathryn| hai sandra shall we go for a picnic| [person:sandra f 1-1][person:we g(kathryn:sandra) 3-3]
sandra| Which date and which place| [location:place s 4-4]
kathryn| this coming weekend and we go near by island| [person:we g(kathryn:sandra) 4-4][location:place s 8-8]
sandra| Oh no kathryn coming week end i will be busy in my work i could not able to come with you| [person:kathryn f 2-2][person:sandra f 6-6][person:sandra f 11-11][person:sandra f 13-13][person:kathryn f 20-20]
kathryn| No sandra you have to please do your work after our picnic| [person:sandra f 1-1][person:sandra f 2-2][person:sandra f 7-7][person:our g(kathryn:sandra) 10-10]
sandra| no kathyrn that work is very important and i need to complete it within that week| [person:sandra f 8-8][location:it s 12-12]
kathryn| ok then what is your plan about this picinic| [person:sandra f 4-4]
sandra| ok i will give my friend fances number he is very much interested to go for a picnic| [person:sandra f 1-1][person:sandra f 4-4][person:fances m 5-5][person:fances m 8-8]
kathryn| Whether he is a good guy and very entertaining person| [person:fances m 1-1]
sandra| yes kathryn he is a very caring and entertaining person you call him and go for a picnic| [person:kathryn f 1-1][person:fances m 2-2][person:sandra f 10-10][person:fances m 12-12]
kathryn| ok bye for now|

conv:people_2019090101_302:aug_0:chat_0:chataug_0| christian jacob| [person:christian m 0-0][person:jacob m 1-1]
jacob| Hey Christian Happy Friday How s it going| [person:christian m 1-1]
christian| Hey Jacob I m good man So glad it s Friday| [person:jacob m 1-1][person:christian m 2-2]
jacob| Yeah me too Been a long week and I m ready for the weekend I was thinking about maybe grabbing breakfast tomorrow morning Are you interested| [person:jacob m 1-1][person:jacob m 8-8][person:jacob m 14-14][person:christian m 24-24]
christian| Yeah that sounds great Hey do you think that Joyce and James would like to go| [person:jacob m 6-6][person:joyce f 9-9][person:james m 11-11]
jacob| I think they would like to go Do you know where they like to eat| [person:jacob m 0-0][person:james___joyce g(joyce:james) 2-2][person:christian m 8-8][person:james___joyce g(joyce:james) 11-11]
christian| I think they like that breakfast diner that s over off of State Street and S 12th Have you been there| [person:christian m 0-0][person:james___joyce g(joyce:james) 2-2][location:state s 12-12][location:street s 13-13][person:jacob m 18-18]
jacob| Oh right I ate there a few weeks ago and it s pretty good I think that would be a great place and should have something for everyone| [person:jacob m 2-2][person:jacob m 14-14][person:everyone g(jacob:christian:joyce:james) 27-27]
christian| Sounds good to me I d love to try it| [person:christian m 3-3][person:christian m 4-4]
jacob| Sounds like a plan Let s do it Would you mind giving them a call and making a reservation| [person:christian m 9-9][person:james___joyce g(joyce:james) 12-12]
christian| No problem I ll give them a call right now and let you know| [person:christian m 2-2][person:james___joyce g(joyce:james) 5-5][person:jacob m 12-12]

conv:people_2019090101_303:aug_0:chat_0:chataug_0| ben scott| [person:ben m 0-0][person:scott m 1-1]
scott| Hi dear are you free now| [person:ben m 3-3]
ben| Yes dear Anything important|
scott| Do you remember that we with our roommates Clyde and Justin are decided to go to a movie today| [person:ben m 1-1][person:we g(scott:ben) 4-4][person:our g(scott:ben) 6-6][person:clyde m 8-8][person:justin m 10-10][location:movie s 17-17]
ben| Yes Yes I am getting ready to come there But I want to have a quick bite before the movie| [person:ben m 2-2][location:movie s 8-8][person:ben m 10-10][location:movie s 19-19]
scott| Where shall we go for a bite Already Clyde and Justin are on their way to theater| [person:we g(scott:ben) 2-2][person:clyde m 8-8][person:justin m 10-10][person:their g() 13-13][location:movie s 16-16]
ben| Shall we go to nearby Ruchi restaurant| [person:we g(scott:ben) 1-1][location:restaurant s 6-6]
scott| I am not coming with you Let me do one thing I will talk with Clyde and Justin and ask any one to pick up you after bite| [person:scott m 0-0][person:ben m 5-5][person:scott m 7-7][person:scott m 11-11][person:clyde m 15-15][person:justin m 17-17][person:ben m 25-25]
ben| It is a good idea too|
scott| Let me talk with them and call you afterwards| [person:scott m 1-1][person:them g(scott:ben:justin:clyde) 4-4][person:ben m 7-7]
ben| Okay I am on the way to the restaurant now| [person:ben m 1-1][location:restaurant s 8-8]
scott| Dear I talked with both of them and Justin is ready to pick up you from the restaurant within 30 minutes| [person:scott m 1-1][person:them g(scott:ben:justin:clyde) 6-6][person:justin m 8-8][person:ben m 14-14][location:restaurant s 17-17]
ben| 30 minutes Okay It is enough for me I will be ready within 30 minutes after biting Bye| [person:ben m 7-7][person:ben m 8-8]
scott| Bye and be there on time Bye| [location:restaurant s 3-3]

conv:people_2019090101_305:aug_0:chat_0:chataug_0| phillip tommy| [person:phillip m 0-0][person:tommy m 1-1]
tommy| Hi Phillip We have been invited to the Brians place to see a show in their home movie theater this should be awesome| [person:phillip m 1-1][person:we g(tommy:phillip) 2-2][person:brians g() 8-8][location:place s 9-9][person:brians g() 15-15][location:place s 16-16]
phillip| Oh wow I am really looking forward to seeing their home and seeing a movie| [person:phillip m 2-2][person:brians g() 9-9][location:home s 10-10]
tommy| Shoud we bring something with us| [person:we g(tommy:phillip) 1-1][person:we g(tommy:phillip) 5-5]
phillip| Do you mean bring something to snack on while watching the show| [person:tommy m 1-1]
tommy| Yes before during or after but I m thinking snacks and refreshments| [person:tommy m 6-6]
phillip| Do you know what they like to eat or drink| [person:tommy m 1-1][person:brians g() 4-4]
tommy| I don t have any idea| [person:tommy m 0-0]
phillip| I know Patrick is also going so how about I ask him as he knows the Brians better than we do| [person:phillip m 0-0][person:patrick m 2-2][person:phillip m 9-9][person:patrick m 11-11][person:patrick m 13-13][person:brians g() 16-16][person:we g(tommy:phillip) 19-19]
tommy| That sounds like a good idea|
phillip| Okay I will give Patrick a call and then get back to you| [person:phillip m 1-1][person:patrick m 4-4][person:phillip m 12-12]
tommy| Perfect thanks for calling him and I will talk with you later| [person:patrick m 4-4][person:tommy m 6-6][person:phillip m 10-10]

conv:people_2019090101_307:aug_0:chat_0:chataug_0| janet natalie| [person:janet f 0-0][person:natalie f 1-1]
janet| I should be almost ready for movie night but can I ask you a quick question| [person:janet f 0-0][person:janet f 10-10][person:natalie f 12-12]
natalie| Sure I am happy to help you in any way that I can| [person:natalie f 1-1][person:janet f 6-6][person:natalie f 11-11]
janet| I can decide what movie genre we should watch I don t really know what everyone likes to watch| [person:janet f 0-0][person:we g(janet:natalie) 6-6][person:janet f 9-9][person:we g(janet:natalie) 15-15]
natalie| Oh that s easy I know that Lisa and Julie like watching action movies same as me| [person:natalie f 4-4][person:lisa f 7-7][person:julie f 9-9][person:natalie f 16-16]
janet| That s great to hear what about Brenda do you know what she likes to watch| [person:brenda f 7-7][person:natalie f 9-9][person:brenda f 12-12]
natalie| She is definitely into watching scary movies she seems to watch one at a theater each week| [person:brenda f 0-0][person:brenda f 7-7]
janet| So either an action movie or a scary movie that s doable I ll try to see if I can find one that is both scary and has action sequences| [person:janet f 12-12][person:janet f 18-18]
natalie| Glad to be of some help is that all you needed for movie night| [person:janet f 9-9]
janet| Actually what do you think would be best to have for movie night what food would everyone enjoy| [person:natalie f 3-3][person:we g(janet:natalie:lisa:julie:brenda) 16-16]
natalie| Most of us seem to like the same kinds of food we don t really have issues eating out How about some snacks and some chinese takeout| [person:we g(janet:natalie:lisa:julie:brenda) 2-2][person:we g(janet:natalie:lisa:julie:brenda) 11-11]
janet| Yeah that sounds good I ll be sure to have the order ready for delivery on that day so we can eat it nice and warm| [person:janet f 4-4][person:we g(janet:natalie:lisa:julie:brenda) 19-19]

conv:people_2019090101_308:aug_0:chat_0:chataug_0| christine gregory| [person:christine f 0-0][person:gregory m 1-1]
gregory| I am planning to have some time out with my friends Meredith Evelyn and Garry| [person:gregory m 0-0][person:gregory m 9-9][person:christine f 10-10][person:christine f 11-11][person:christine f 12-12][person:gregory m 14-14]
christine| You can have great fun as you are also meeting them after a long time| [person:gregory m 0-0][person:gregory m 6-6][location:meeting s 9-9][person:christine f 10-10]
gregory| Yes i am very much excited and thinking on things to do with them| [person:gregory m 1-1][person:gregory m 13-13]
christine| May be you can all go for a movie and food together| [person:gregory m 2-2]
gregory| Yes that is a great idea and why don t you join us| [person:gregory m 10-10][location:meeting g() 12-12]
christine| I would have joined you all but i don t know your friends| [person:christine f 0-0][person:christine f 4-4][person:christine f 7-7][person:gregory m 11-11][person:christine f 12-12]
gregory| My friends are easy going and very fun loving people and you can be comfortable with them| [person:christine f 0-0][person:gregory m 1-1][person:christine f 11-11][person:christine f 16-16]
christine| If that is a case i will join you| [person:gregory m 5-5][person:christine f 8-8]
gregory| Okay then our program is fixed let us all enjoy| [person:gregory m 2-2][location:meeting g() 7-7]
christine| Yes i will also get to to know your friends and looking forward of the great time together| [person:christine f 1-1][person:christine f 8-8][person:gregory m 9-9]

conv:people_2019090101_309:aug_0:chat_0:chataug_0| brian michael| [person:brian m 0-0][person:michael m 1-1]
brian| Hey michael you excited for the basketball game| [person:michael m 1-1][person:michael m 2-2]
michael| Definitely which game do you think we should go to| [person:brian m 4-4][person:we g(brian:michael) 6-6]
brian| Well I m thinking that we should hit up the Knicks or the Clippers| [person:brian m 1-1][person:we g(brian:michael) 5-5]
