conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
alex| Sure will We will see you later| [person:we g(robert:lawrence) 2-2][person:robert m 5-5]
robert| Great see you then| [person:alex m 2-2]

conv:people_2019081802_65:aug_0:chat_0:chataug_0| chris timothy| [person:chris m 0-0][person:timothy m 1-1]
chris| Hey Timothy you know any good bars around your office| [person:timothy m 1-1][person:timothy m 2-2][location:bars g() 6-6][person:timothy m 8-8][location:office s 9-9]
timothy| No you know me Chris I never drink| [person:chris m 1-1][person:timothy m 3-3][person:chris m 4-4][person:timothy m 5-5]
chris| LOL Just give me a name or two TMan I got to show Sam and Johnathan a good time| [person:chris m 3-3][person:chris m 9-9][person:sam m 13-13]
timothy| Your neighbors They guys who hosted that threekegger last week| [person:chris m 0-0][person:neighbors g(sam) 1-1][person:they g(sam) 2-2]
chris| Yeah those dudes You wanna join us| [person:timothy m 3-3][person:us g(chris:sam) 6-6]
timothy| I don t know I m still hungover from last night We got to stop going out every night Man| [person:timothy m 0-0][person:timothy m 4-4][person:we g(chris:timothy) 11-11]
chris| I hear you Timmy Lets agree to start stopping that next month| [person:chris m 0-0][person:timothy m 2-2]
timothy| LOL Agreed I ll put it on my calendar and send you a reminder| [person:timothy m 2-2][person:timothy m 7-7][person:chris m 11-11]
chris| Sounds good So what about tonight You in Its me the neighbors and maybe those cheerleaders from the kegger| [person:timothy m 6-6][person:chris m 9-9][person:neighbors g(sam) 11-11]
timothy| Cheerleaders Man I love you neighbors| [person:timothy m 2-2][person:chris m 4-4][person:neighbors g(sam) 5-5]
chris| See you tonight then Let me know when you come up with a place| [person:timothy m 1-1][person:chris m 5-5][person:timothy m 8-8][location:place s 13-13]

conv:people_2019081802_66:aug_0:chat_0:chataug_0| christopher julia| [person:christopher m 0-0][person:julia f 1-1]
christopher| Its been a long week Julia| [person:julia f 5-5]
julia| Yes i miss curry goat| [person:julia f 1-1]
christopher| Are you for real| [person:julia f 1-1]
julia| Yes|
christopher| Can you join us today at the Jamaican Cafe| [person:julia f 1-1][person:us g(christopher:julia) 3-3]
julia| Who is us Do they have curry goat| [person:us g(christopher:julia) 2-2][person:they g(christopher) 4-4]
christopher| Yes they do| [person:they g(christopher) 1-1]
christopher| Us my friends abd I| [person:us g(christopher:julia) 0-0][person:christopher m 1-1][person:friends g() 2-2][person:christopher m 4-4]
julia| Who are they| [person:they g(christopher) 2-2]
christopher| Karen meredith and bob| [person:karen f 0-0][person:meredith f 1-1][person:bob m 3-3]
julia| But i dont know them| [person:julia f 1-1][person:them g(karen:meredith:bob) 4-4]
christopher| You will know them today lol| [person:julia f 0-0][person:them g(karen:meredith:bob) 3-3]
julia| Who are they| [person:they g(christopher) 2-2]
christopher| My former classmates they are the best company youll ever have| [person:christopher m 0-0][person:them g(karen:meredith:bob) 2-2][person:them g(karen:meredith:bob) 3-3]
julia| Haha I let you know| [person:julia f 1-1][person:christopher m 3-3]
christopher| Is that a yes|

conv:people_2019081802_67:aug_0:chat_0:chataug_0| gerald noah| [person:gerald m 0-0][person:noah m 1-1]
noah| Hey Gerald what s up| [person:gerald m 1-1]
gerald| Hey Noah nothing much anything exciting happening with you| [person:noah m 1-1][person:noah m 8-8]
noah| My brother Howard is going to be here with his buddy Martin We re going to the playoff game| [person:noah m 0-0][person:howard m 1-1][person:howard m 2-2][person:howard m 9-9][person:martin m 10-10][person:martin m 11-11][person:we g(noah:howard:martin) 12-12]
gerald| That s sounds really awesome You guys must be so stoked| [person:we g(noah:howard:martin) 5-5]
noah| Yeah Since you live near the stadium do you have any recommendations for food| [person:gerald m 2-2][location:stadium s 6-6][person:gerald m 8-8]
gerald| Yeah there s a great steak place nearby Or if you want something quicker the Thai place is always good| [location:place s 6-6][person:noah m 10-10][location:place s 16-16]
noah| Both sound good I also have another question| [person:noah m 3-3]
gerald| What else would you like to know| [person:gerald m 3-3]
noah| Do you want to go to the game with us I have an extra ticket| [person:gerald m 1-1][person:we g(noah:howard:martin) 9-9][person:noah m 10-10]
gerald| That would be awesome I d love to go| [person:gerald m 4-4]
noah| Okay meet up at my place Then we can go and get something to eat before the game| [person:noah m 4-4][location:place s 5-5][person:we g(noah:howard:martin) 7-7]
gerald| Sounds good see you then| [person:noah m 3-3]

conv:people_2019081802_68:aug_0:chat_0:chataug_0| benjamin rose| [person:benjamin m 0-0][person:rose f 1-1]
benjamin| Hi Rose Do you know who else you wanna invite for the weekend party| [person:rose f 1-1][person:rose f 3-3][person:rose f 7-7]
rose| Isn t just inviting the Coopers and the Martins enough| [person:coopers g() 5-5][person:martins g() 8-8]
benjamin| Sure I guess so Did you invite them yet| [person:benjamin m 1-1][person:rose f 5-5][person:coopers g() 7-7]
rose| Oh no I was wondering if you d do it| [person:rose f 2-2][person:benjamin m 6-6]
benjamin| I could but how about I invite the Coopers and you invite the Martins| [person:benjamin m 0-0][person:benjamin m 5-5][person:coopers g() 8-8][person:rose f 10-10][person:martins g() 13-13]
rose| Okay sure Let s split it that way then|
benjamin| Remember we need to figure out everyone s schedule so we know when we should start it| [person:we g(benjamin:rose) 1-1][person:martins g() 6-6][person:we g(benjamin:rose) 10-10][person:we g(benjamin:rose) 13-13]
rose| Yeah I know I ll get to it soon| [person:rose f 1-1][person:rose f 3-3]
benjamin| Okay so I ll text them tonight when they re off work| [person:benjamin m 2-2][person:martins g() 5-5][person:martins g() 8-8]
rose| Alright I ll tell you what they reply to me Bye| [person:rose f 1-1][person:benjamin m 4-4][person:coopers g() 6-6][person:rose f 9-9]

conv:people_2019081802_69:aug_0:chat_0:chataug_0| april kathleen| [person:april f 0-0][person:kathleen f 1-1]
april| Hey Kathleen How are you| [person:kathleen f 1-1][person:kathleen f 4-4]
kathleen| I am good How are you April| [person:kathleen f 0-0][person:april f 5-5][person:april f 6-6]
april| I am good too Actually I am thinking of going to a sports bar for the playoff game Would you like to join me| [person:april f 0-0][person:april f 5-5][location:sports_bar s 12-13][person:kathleen f 19-19][person:april f 23-23]
kathleen| I am really sorry I have a very schedule this week| [person:kathleen f 0-0][person:kathleen f 4-4]
april| Okay I understand I will cancel it then| [person:april f 1-1][person:april f 3-3]
kathleen| Don t cancel it I can give you my friend Rose s number She would love to join you| [person:kathleen f 4-4][person:april f 7-7][person:kathleen f 8-8][person:rose f 9-9][person:rose f 10-10][person:rose f 13-13][person:april f 18-18]
april| But Wouldn t it be awkward I don t even know her| [person:kathleen f 6-6][person:rose f 11-11]
kathleen| It will be totally fine She is fun| [person:rose f 5-5]
april| Okay If you say so| [person:kathleen f 2-2]
kathleen| I will tell her to give you a call And you both can talk| [person:kathleen f 0-0][person:rose f 3-3][person:april f 6-6][person:april f 10-10]
april| Okay That sounds good Thank you so much| [person:kathleen f 5-5]
kathleen| Anything for you my friend See you| [person:april f 2-2][person:kathleen f 3-3][person:rose f 4-4][person:april f 6-6]
april| Bye|

conv:people_2019081802_70:aug_0:chat_0:chataug_0| betty jill| [person:betty f 0-0][person:jill f 1-1]
betty| Hey Jill do you remember my friend Lori| [person:jill f 1-1][person:jill f 3-3][person:betty f 5-5][person:lori f 6-6][person:lori f 7-7]
jill| Yes I remember her from the party two weeks ago| [person:jill f 1-1][person:lori f 3-3]
betty| Could you do me a huge favor Would you mind picking her up from the mall| [person:jill f 1-1][person:betty f 3-3][person:jill f 8-8][person:lori f 11-11][location:mall s 15-15]
jill| I would but I have a meeting with Gerald today I m so sorry| [person:jill f 0-0][person:jill f 3-3][person:gerald m 8-8][person:jill f 10-10]
betty| When s your meeting with Gerald Is there any way you can reschedule| [person:jill f 2-2][person:gerald m 5-5][person:jill f 10-10]
jill| I talked to Gerald and was able to reschedule for tomorrow What time does Lori need a ride| [person:jill f 0-0][person:gerald m 3-3][person:lori f 14-14]
betty| Actually it s okay Catherine said she d pick her up Thanks for trying| [person:catherine f 4-4][person:catherine f 6-6][person:lori f 9-9]
jill| Are you serious I had to reschedule my meeting with Gerald| [person:betty f 1-1][person:jill f 3-3][person:jill f 7-7][person:gerald m 10-10]
betty| I m so sorry Catherine volunteered at this last minute Plus Catherine and Lori are actually good friends| [person:betty f 0-0][person:catherine f 4-4][person:catherine f 11-11][person:lori f 13-13][person:friends g(lori:catherine) 17-17]
jill| It s fine Don t worry about it I ll just leave work early Let me know if you want to get dinner later| [person:jill f 8-8][person:jill f 15-15][person:betty f 18-18]

conv:people_2019081802_71:aug_0:chat_0:chataug_0| gregory kevin| [person:gregory m 0-0][person:kevin m 1-1]
gregory| Hey Kevin Are we still on to play basketball next week I m really looking forward to it| [person:kevin m 1-1][person:we g(gregory:kevin) 3-3][person:gregory m 11-11]
kevin| Hello Gregory I was just talking to Joshua and Russell Joshua still wants to play but he can t make it until after 6 pm Would that work for you| [person:gregory m 1-1][person:kevin m 2-2][person:joshua m 7-7][person:russell m 9-9][person:joshua m 10-10][person:joshua m 16-16][person:gregory m 29-29]
gregory| Oh no That won t work The courts are reserved already for that time|
kevin| Do you think we could play at the YMCA instead| [person:gregory m 1-1][person:we g(gregory:kevin) 3-3]
gregory| Russell doesn t have membership so he d have to pay to get in What about the courts at the playground by the school| [person:russell m 0-0][person:russell m 6-6][location:school s 23-23]
kevin| I always see leagues playing there in the evenings I don t think that will work| [person:kevin m 0-0][person:kevin m 9-9]
gregory| There are courts at Russell s apartment It s a little out of the way for me but I d be willing to drive there| [person:russell m 4-4][location:apartment s 6-6][person:gregory m 16-16][person:gregory m 18-18]
kevin| I ll let Russell and Joshua know If anything changes I ll call you| [person:kevin m 0-0][person:russell m 3-3][person:joshua m 5-5][person:kevin m 10-10][person:gregory m 13-13]
gregory| Do you need me to bring anything| [person:kevin m 1-1][person:gregory m 3-3]
kevin| No I ll pick up some drinks and snacks on the way there| [person:kevin m 1-1]
gregory| Great I ll see you at Russell s at 6 pm| [person:gregory m 1-1][person:kevin m 4-4][person:russell m 6-6]
kevin| I m looking forward to it| [person:kevin m 0-0]

conv:people_2019081802_72:aug_0:chat_0:chataug_0| eva sophia| [person:eva f 0-0][person:sophia f 1-1]
eva| Hi Sophia I m looking forward to going to the Wilboroghs for drinks on Thursday| [person:sophia f 1-1][person:eva f 2-2][person:wilboroghs g() 10-10]
sophia| Yes me too It should be really fun I just love them| [person:sophia f 1-1][person:sophia f 8-8][person:wilboroghs g() 11-11]
eva| I was thinking it would be nice to get them something for being so hospitable What do you think| [person:eva f 0-0][person:wilboroghs g() 9-9][person:sophia f 17-17]
sophia| That s a great idea Just a little something to show our appreciation Any ideas what we should get| [person:our g(eva:sophia) 11-11][person:our g(eva:sophia) 16-16]
eva| Well I know Kate really likes baking so maybe a cool recipe book And Tim is into golf so maybe a golf gift certificate| [person:eva f 1-1][person:kate f 3-3][person:tim m 14-14]
sophia| Great ideas And their son Alexander likes basketball so maybe we can get him a jersey| [person:wilboroghs g(kate:tim) 3-3][person:alexander m 5-5][person:our g(eva:sophia) 10-10][person:alexander m 13-13]
eva| Sounds great I m going by the book store later today so I can get the recipe book Would you mind grabbing the golf gift certificate| [person:eva f 2-2][person:eva f 12-12][person:sophia f 19-19]
sophia| No problem the golf course is right by my place Maybe we can pick up the basketball jersey on our way to their house| [person:sophia f 8-8][location:place s 9-9][person:our g(eva:sophia) 11-11][person:our g(eva:sophia) 19-19][person:wilboroghs g(kate:tim:alexander) 22-22]
eva| Perfect I think it ll be really nice Should be a lot of fun| [person:eva f 1-1]
sophia| I think so too Okay I ll text you later Bye| [person:sophia f 0-0][person:sophia f 5-5][person:eva f 8-8]

conv:people_2019081802_73:aug_0:chat_0:chataug_0| jacqueline stephen| [person:jacqueline f 0-0][person:stephen m 1-1]
stephen| Hi Jac Are you free now| [person:jacqueline f 3-3]
jacqueline| Yes Stephen I am free now Anything important| [person:stephen m 1-1][person:jacqueline f 2-2]
stephen| Do you forget Jac Tomorrow we are planning to go to Cinema| [person:jacqueline f 1-1][person:we g(stephen:jacqueline) 5-5]
jacqueline| Yes I remember it Myself with our friends Beverly Derrick Amy and Tyler are eager to go to cinema tomorrow| [person:jacqueline f 1-1][person:jacqueline f 4-4][person:friends g() 7-7][person:beverly f 8-8][person:derrick m 9-9][person:amy f 10-10][person:tyler m 12-12]
stephen| That is nice Do you know the genre of the movie| [person:jacqueline f 4-4]
