conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
dennis| I will be waiting for you| [person:dennis m 0-0][person:don m 5-5]

conv:people_chats_04182020_291:aug_0:chat_0:chataug_0| kenneth steve| [person:kenneth m 0-0][person:steve m 1-1]
kenneth| Hey Steve What are your plans for Virginia| [person:steve m 1-1][person:steve m 4-4][location:virginia s 7-7]
steve| My imminent plan is to date her But unfortunately she is having her baby shower I am no where in the God damn picture| [person:steve m 0-0][person:virginia f 6-6][person:virginia f 9-9][person:virginia f 12-12][person:steve m 15-15]
kenneth| Should I laugh or lament at your perilous situation dude Anyways it is incredible to see you carrying little torch for her| [person:kenneth m 1-1][person:steve m 6-6][person:steve m 16-16][person:virginia f 21-21]
kenneth| People are starting to notice Aren t they I think you bought her the whole shopping mall Man you crazy| [person:they g() 7-7][person:kenneth m 8-8][person:steve m 10-10][person:virginia f 12-12][location:shopping_mall s 15-16][person:steve m 18-18]
steve| Just following Edward s order He liked the idea of Mermaid costume I think Virginia will love it| [person:edward m 2-2][person:edward m 5-5][person:steve m 12-12][location:virginia s 14-14][location:virginia s 17-17]
kenneth| Yeah it seems like you are buying for her and not the baby I read somewhere I wish you were a little girl because skinned knees are easier to fix than a broken heart| [person:steve m 4-4][person:virginia f 8-8][person:kenneth m 13-13][person:kenneth m 16-16][person:steve m 18-18]
steve| To make sure I do not to disrespect my heart I shall also buy a little heart and onesies| [person:steve m 3-3][person:steve m 8-8][person:steve m 10-10]
steve| Edward called me up and for most of the part he was happy It will be a memorable get together with my old friend| [person:edward m 0-0][person:steve m 2-2][person:edward m 10-10][person:steve m 21-21][person:steve m 23-23]
kenneth| Except the fact that you are his wife s ex Having said that I like the gifts that you bought| [person:steve m 4-4][person:steve m 6-6][person:virginia f 7-7][person:kenneth m 13-13][person:steve m 18-18]
steve| It is so much as true as it is strange that how often the heart should be broken before the years make it wise Let s go buddy| [person:kenneth m 27-27]

conv:people_chats_04182020_292:aug_0:chat_0:chataug_0| robert samantha| [person:robert m 0-0][person:samantha f 1-1]
samantha| Hey Robert where do you think we should go for dinner tonight| [person:robert m 1-1][person:robert m 4-4][person:we g(samantha:robert) 6-6]
robert| Hey Samantha there are so many options to pick from Why don t we choose a restaurant by the beach| [person:samantha f 1-1][person:we g(samantha:robert) 13-13][location:restaurant s 16-16][location:beach s 19-19]
samantha| Great plan We should definitely go to the new seafood restaurant near the beach| [person:we g(samantha:robert) 2-2][location:restaurant s 10-10][location:restaurant s 13-13]
robert| That s a good idea but I was thinking to invite our friends Willie and Caroline to come along with us and Willie may be allergic to seafood| [person:robert m 6-6][person:we g(samantha:robert) 11-11][person:friends g() 12-12][person:willie m 13-13][person:caroline f 15-15][person:we g(samantha:robert) 20-20][person:willie m 22-22]
samantha| Awesome I haven t met them in a long time I do remember that last time Willie became very sick after eating seafood| [person:samantha f 1-1][person:friends g(willie:caroline:caroline) 5-5][person:samantha f 10-10][person:willie m 16-16]
robert| Yes So let s just pick another restaurant in that same area| [location:restaurant s 7-7]
samantha| I think we should go to an Italian restaurant| [person:samantha f 0-0][person:we g(samantha:robert) 2-2][location:restaurant s 8-8]
robert| I m fine with that but Caroline is on a lowcarb diet so Italian may not be a great idea for her Why don t we go to the steakhouse there I have yet to try that place| [person:robert m 0-0][person:caroline f 6-6][person:caroline f 21-21][person:we g(samantha:robert) 25-25][person:robert m 31-31]
samantha| Oh That sounds cool I haven t had steak in a long time| [person:samantha f 4-4]
robert| Sounds like a plan then I ll book a table for us four there at 800 pm| [person:robert m 5-5][person:us g(samantha:robert:willie:caroline) 11-11][location:restaurant s 13-13]

conv:people_chats_04182020_293:aug_0:chat_0:chataug_0| clair nick| [person:clair f 0-0][person:nick m 1-1]
clair| Hey Nick How s your homework going on| [person:nick m 1-1][person:nick m 4-4]
nick| Hi Mom I am almost done with my home work| [person:mom f 1-1][person:nick m 2-2][person:nick m 7-7][location:home s 8-8]
nick| I have interviewed two of my neighbors Vince and Ruby| [person:nick m 0-0][person:nick m 5-5][person:neighbors g() 6-6][person:vince m 7-7][person:ruby f 9-9]
clair| Okay what do you know about Vince| [person:nick m 3-3][person:vince m 6-6]
nick| I know that he is a retired civil engineer and has helped to construct some iconic buildings| [person:nick m 0-0][person:vince m 3-3][location:buildings g() 16-16]
clair| Okay that s nice What do you know about Ruby| [person:nick m 6-6][person:ruby f 9-9]
nick| I just know that she has posted online that she sells paper products| [person:nick m 0-0][person:ruby f 4-4][person:ruby f 9-9]
clair| Is she a saleswoman Nick I doubt about that| [person:ruby f 1-1][person:nick m 4-4][person:mom f 5-5]
nick| I do not think that she is a saleswoman Mom| [person:nick m 0-0][person:ruby f 5-5][person:clair f 9-9]
clair| I wonder if she have a top security clearance| [person:mom f 0-0][person:ruby f 3-3]
nick| Why do you think like that| [person:mom f 2-2]
clair| It s because one of the President s secret service agents looks similar to her| [person:ruby f 14-14]
nick| I wonder whether I will have any success interviewing Ruby| [person:nick m 0-0][person:nick m 3-3][person:ruby f 9-9]
clair| Try hard you ll definitely interview her| [person:nick m 2-2][person:ruby f 6-6]

conv:people_chats_04182020_295:aug_0:chat_0:chataug_0| abigail anne| [person:abigail f 0-0][person:anne f 1-1]
abigail| Anne dad recently got promoted in his office for a higher post| [person:anne f 0-0][person:dad m 1-1][person:dad m 6-6][location:office s 7-7]
anne| That s a very good news Abigail Let s celebrate his achievement| [person:abigail f 6-6][person:dad m 10-10]
abigail| We will not inform dad throw a surprise party by inviting a few of his close pals| [person:we g(abigail:anne) 0-0][person:dad m 4-4][person:dad m 14-14]
anne| We shall perfectly make all the arrangements required| [person:we g(abigail:anne) 0-0]
abigail| Let us also include Patrick in this plan since he can guide us to do things better| [person:we g(abigail:anne) 1-1][person:patrick m 4-4][person:patrick m 9-9][person:we g(abigail:anne) 12-12]
anne| I don t think it ll be necessary We are capable of handling it| [person:anne f 0-0][person:we g(abigail:anne) 8-8]
abigail| Also brother is always occupied with his work he is hard to reach| [person:patrick m 1-1][person:patrick m 6-6][person:patrick m 8-8]
anne| Yes exactly We can just invite our family a few of dad s friends| [person:we g(abigail:anne) 2-2][person:we g(abigail:anne) 6-6][person:family g(abigail:anne:dad:patrick) 7-7][person:dad m 11-11][person:friends g() 13-13]
abigail| Patrick is not at all a party animal He hates partying| [person:patrick m 0-0][person:patrick m 8-8]
anne| I wonder if dad likes to party or not| [person:anne f 0-0][person:dad m 3-3]

conv:people_chats_04182020_296:aug_0:chat_0:chataug_0| eva jeremy| [person:eva f 0-0][person:jeremy m 1-1]
eva| Are you aware of things happening in Jim s house Jeremy| [person:jeremy m 1-1][person:jim m 7-7][person:jeremy m 10-10]
jeremy| No I am not Whats so special there| [person:jeremy m 1-1]
eva| Karina and Jim are planning to completely remodel their house They have got much decorations and many other items for that| [person:karina f 0-0][person:jim m 2-2][person:their g() 8-8][person:their g() 10-10]
jeremy| That sounds great Do they have a specific theme for that| [person:their g(jim:karina) 4-4]
eva| Yes Since they have their anniversary next month they are planing something quite romantic| [person:their g(jim:karina) 2-2][person:their g(jim:karina) 4-4][person:their g(jim:karina) 8-8]
jeremy| Better we should pay a visit after their setup so that we will get an idea about it| [person:their g(jim:karina:eva:jeremy) 1-1][person:their g(jim:karina:eva:jeremy) 7-7][person:their g(jim:karina:eva:jeremy) 11-11]
eva| Seems that you are also interested in it Are you serious| [person:jeremy m 2-2][person:jeremy m 9-9]
jeremy| Of course I am But I have not planned a big budget on it| [person:jeremy m 2-2][person:jeremy m 5-5]
eva| I understand that But I suggest that we should plan big since its a one time expense| [person:eva f 0-0][person:eva f 4-4][person:their g(jim:karina:eva:jeremy) 7-7]
jeremy| Anyways We have time Lets think about it| [person:their g(jim:karina:eva:jeremy) 1-1]

conv:people_chats_04182020_297:aug_0:chat_0:chataug_0| keira sharon| [person:keira f 0-0][person:sharon f 1-1]
keira| Hey Sharon I am so bored Shall we go out for this weekend| [person:sharon f 1-1][person:keira f 2-2][person:we g(keira:sharon) 7-7]
sharon| Yeah Where shall we go Keira| [person:we g(keira:sharon) 3-3][person:keira f 5-5]
keira| Let s go out for hiking|
sharon| Great but in order to do hiking we should understand the terrain| [person:we g(keira:sharon) 7-7]
sharon| Do you know anything about it| [person:keira f 1-1]
keira| I don t know anything about it Keira| [person:keira f 0-0][person:keira f 7-7]
keira| But we can ask our friends Beverly and Martha They can help us in hiking as they are experienced hikers| [person:we g(keira:sharon) 1-1][person:we g(keira:sharon) 4-4][person:friends g() 5-5][person:beverly f 6-6][person:martha f 8-8][person:friends g(beverly:martha) 9-9]
sharon| Yeah you are right We can also learn a lot from them about hiking| [person:keira f 1-1][person:we g(keira:sharon) 4-4][person:friends g(beverly:martha) 11-11]
keira| Yes I will ask them whether they will be available to help us out in hiking| [person:keira f 1-1][person:friends g(beverly:martha) 4-4][person:friends g(beverly:martha) 6-6][person:we g(keira:sharon) 12-12]
sharon| Yeah okay Tell me once they reply to you| [person:sharon f 3-3][person:friends g(beverly:martha) 5-5][person:keira f 8-8]

conv:people_chats_04182020_298:aug_0:chat_0:chataug_0| brandon marc| [person:brandon m 0-0][person:marc m 1-1]
brandon| Hey Marc What are you doing| [person:marc m 1-1][person:marc m 4-4]
marc| I was thinking of skateboarding What about you| [person:marc m 0-0][person:brandon m 7-7]
marc| Would you like to join me| [person:brandon m 1-1][person:marc m 5-5]
brandon| Yeah I am excited about it as we just moved in here| [person:brandon m 1-1][person:we g(brandon:marc) 7-7]
brandon| I am okay with wherever you want to go| [person:brandon m 0-0][person:marc m 5-5]
marc| But I don t know any skate park nearby Do you have any idea| [person:marc m 1-1][person:brandon m 10-10]
brandon| Yeah My friends Kim and Kylie will always go to the skate park which is a few streets down from here| [person:brandon m 1-1][person:friends g() 2-2][person:kim f 3-3][person:kylie f 5-5]
marc| Are you sure about it Is it big enough for skateboarding| [person:brandon m 1-1]
brandon| Yeah girls go there very often and it is really big enough for skateboarding| [person:girls g() 1-1]
marc| I think then you should ask them about the exact location| [person:marc m 0-0][person:brandon m 3-3][person:girls g() 6-6]
marc| Find it out from any of the girls so that we can go there today itself| [person:girls g() 7-7][person:we g(brandon:marc) 10-10]
brandon| Of course but I am not sure of messaging the girls as they will be busy at their work now| [person:brandon m 3-3][person:girls g() 10-10][person:girls g() 12-12][person:girls g() 17-17]
marc| Okay take your time and let me know as soon as possible If not we can plan later| [person:brandon m 2-2][person:marc m 6-6][person:we g(brandon:marc) 14-14]
brandon| Okay I will reach you once I get the exact location See you soon| [person:brandon m 1-1][person:marc m 4-4][person:brandon m 6-6][person:marc m 12-12]

conv:people_chats_04182020_301:aug_0:chat_0:chataug_0| anna teresa| [person:anna f 0-0][person:teresa f 1-1]
teresa| Anna don t forget to get some pasta for me| [person:anna f 0-0][person:teresa f 9-9]
anna| Yeah okay but I was thinking what our cousins would like to eat| [person:anna f 3-3][person:our g(teresa:anna) 7-7][person:cousins g() 8-8]
teresa| Shawn is totally fond of fruits I don t know about Kimberly| [person:shawn m 0-0][person:teresa f 6-6][person:kimberly f 11-11]
anna| Kimberley is fond of cookies and other snacks Do you think I should buy them| [person:teresa f 9-9][person:anna f 11-11]
teresa| Yeah go ahead and don t forget to pick some apples for Shawn| [person:shawn m 12-12]
